record_number,pmid,doi,title,authors,journal,year,abstract,reviewer_1_decision,reviewer_1_reasoning,reviewer_2_decision,reviewer_2_reasoning,final_decision,arbiter_needed,arbiter_notes
66,31429896,10.1001/jama.2019.10517,Effect of Continuing Olanzapine vs Placebo on Relapse Among Patients With Psychotic Depression in Remission: The STOP-PD II Randomized Clinical Trial.,Alastair J. Flint; Barnett S. Meyers; Anthony J. Rothschild; Ellen M. Whyte; George S. Alexopoulos; Matthew V. Rudorfer; Patricia Marino; Samprit Banerjee; Cristina Pollari; Yiyuan Wu; Aristotle N. Voineskos; Benoit H. Mulsant; for the STOP-PD II Study Group,JAMA,2019,"Importance: Psychotic depression is a severely disabling and potentially lethal disorder. Little is known about the efficacy and tolerability of continuing antipsychotic medication for patients with psychotic depression in remission. Objective: To determine the clinical effects of continuing antipsychotic medication once an episode of psychotic depression has responded to combination treatment with an antidepressant and antipsychotic agent. Design, Setting, and Participants: Thirty-six week rand",UNCERTAIN,psychotic; RCT of olanzapine continuation for psychotic depression; 4 academic medical centers; Mulsant (Toronto) is co-PI suggesting Canadian site but abstract does not explicitly name Canadian recruitment; need full text,MAP,psychotic; RCT of olanzapine continuation for psychotic depression. 4 academic centers. Flint AJ (Toronto). Published 2019. Canadian PI. Meets all criteria.,INCLUDE,Resolved,Full-text screening: Confirmed: STOP-PD II RCT olanzapine continuation for psychotic depression; Canadian site UHN Toronto (Flint AJ PI); primary results 2019
67,36520964,10.1093/ntr/ntac288,Effectiveness of Bupropion and Varenicline for Smokers With Baseline Depressive Symptoms.,Zhang H.; Gilbert E.; Hussain S.; Veldhuizen S.; Le Foll B.; Selby P.; Zawertailo L.,Nicotine and Tobacco Research,2023,"Introduction: Smokers with concurrent depression are less likely to achieve abstinence, even with pharmacotherapy. The purpose of this secondary data analysis was to evaluate if the presence of any depressive symptoms at baseline alters the effectiveness of bupropion and varenicline for smoking cessation. Aims and Methods: Eligible participants were enrolled via the internet and randomized 1:1 to receive a 12-week supply of either bupropion (n = 465) or varenicline (n = 499). Depressive symptoms",UNCERTAIN,unclear_MH; RCT of bupropion vs varenicline for smoking cessation in smokers with depressive symptoms; Canadian (Toronto); pharma but target is smoking not MH; secondary analysis,UNCERTAIN,"potential_map; Secondary analysis from RCT of bupropion vs varenicline for smoking cessation; Canadian (CAMH/Toronto authors: Le Foll, Selby, Zawertailo); pharmacological; examines depressive symptoms as moderator; but primary outcome is smoking cessation not MH treatment; MH disorder is a baseline characteristic not the treatment target",EXCLUDE,Resolved,Full-text screening: Secondary analysis from parent smoking cessation RCT
68,36519188,10.1177/07067437221145013,Effects of Buprenorphine/Naloxone and Methadone on Depressive Symptoms in People with Prescription Opioid Use Disorder: A Pragmatic Randomised Controlled Trial.,"Bastien G, McAnulty C, Ledjiar O, Socias ME, Le Foll B, Lim R, Hassan AN, Brissette S, Marsan S, Talbot A, Jutras-Aswad D, OPTIMA Research Group within the Canadian Research Initiative in Substance Misuse.",Canadian Journal of Psychiatry,2023,"Objective: This study aimed to evaluate the effectiveness of flexible take-home dosing of buprenorphine/naloxone (BUP/NX) and methadone standard model of care in reducing depressive symptoms in people with prescription-type opioid use disorder (POUD). This trial also evaluated whether improvements in depressive symptoms were mediated by opioid use. Methods: Analyzed data came from the OPTIMA study (clinicaltrials.gov identifier: NCT03033732), a pragmatic randomised controlled trial comparing fle",MAP,"substance_use; Canadian pragmatic RCT (OPTIMA study, 4 Canadian provinces) comparing buprenorphine/naloxone vs methadone in prescription opioid use disorder with depressive symptoms as outcome",OUT_OF_SCOPE,secondary_analysis; Depression outcomes secondary from OPTIMA trial; primary outcome was opioid use reduction,EXCLUDE,Resolved,QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: Secondary analysis of OPTIMA trial; depression is secondary endpoint
69,6668,,Effects of rTMS on quality of life in younger and older adults with MDD,,,,,UNCERTAIN,potential_match; Secondary analysis of TWO RCTs (THREE-D and FOUR-D); non-pharmacological (rTMS) but Canadian (Blumberger Downar Vila-Rodriguez); MDD diagnosed; however primary intervention is rTMS not pharma,UNCERTAIN,potential_match; Secondary analysis of TWO RCTs (THREE-D and FOUR-D); non-pharmacological (rTMS) but Canadian (Blumberger Downar Vila-Rodriguez); MDD diagnosed; however primary intervention is rTMS not pharma,EXCLUDE,Resolved,single reviewer only; Full-text screening: Non-pharmacological (rTMS) and secondary analysis of THREE-D/FOUR-D trials
70,27613505,10.1016/j.schres.2016.08.031,Effects of varenicline on motor cortical plasticity in non-smokers with schizophrenia.,Bridgman A.C.; Barr M.S.; Goodman M.S.; Zomorrodi R.; Rajji T.; Le Foll B.; Chen R.; Daskalakis Z.J.; George T.P.,Schizophrenia Research,2016,"Background Nicotinic acetylcholine receptors (nAChR) have been implicated in the pathophysiology of schizophrenia, and deficits in this system may contribute to high rates of cigarette smoking in this population. nAChR stimulation may modulate neuroplasticity, or long-term potentiation (LTP), which is a key mediator of cognitive performance. Varenicline is a nAChR partial agonist that may improve cognitive deficits in both smokers and non-smokers with schizophrenia; however, the mechanism by whi",MAP,psychotic; Canadian RCT (CAMH Toronto); randomized double-blind placebo-controlled crossover study of varenicline 0.5mg BID in 9 non-smokers with schizophrenia and 10 healthy controls; pharmacological intervention in diagnosed mental disorder; 2016.,OUT_OF_SCOPE,non_pharma; Non-pharmacological intervention,EXCLUDE,Resolved,"Full-text screening: Pharmacological probe/neurophysiology study (N=9) examining cortical plasticity, not treatment efficacy for schizophrenia"
71,26967214,10.3233/jad-150978,"Efficacy and Safety of ABT-126 in Subjects with Mild-to-Moderate Alzheimer's Disease on Stable Doses of Acetylcholinesterase Inhibitors: A Randomized, Double-Blind, Placebo-Controlled Study.",Florian H.; Meier A.; Gauthier S.; Lipschitz S.; Lin Y.; Tang Q.; Othman A.A.; Robieson W.Z.; Gault L.M.,Journal of Alzheimer S Disease,2016,"Background: ABT-126 is a potent, selective α7 nicotinic acetylcholine receptor agonist with putative procognitive effects as a monotherapy in treating Alzheimer's disease (AD). Objective: This randomized, double-blind, placebo-controlled multicenter study (NCT01549834) investigated the efficacy and safety of ABT-126 in subjects with mild-to-moderate AD who were taking stable doses of acetylcholinesterase inhibitors (AChEIs). Methods: Subjects received 25mg ABT-126 (n = 143), 75 mg ABT-126 (n = 1",UNCERTAIN,dementia; RCT; AD (ICD); pharma; cannot confirm Canadian recruitment site from abstract; multicenter but countries not specified,MAP,dementia; RCT of ABT-126 (alpha7 nAChR agonist) in mild-moderate AD; multicenter including Canadian site (Gauthier is Canadian PI); pharma for MH; results 2016,INCLUDE,Resolved,Full-text screening: Confirmed: RCT ABT-126 for AD; Canadian site at McGill (Gauthier S investigator); primary results 2016
72,41582768,10.1097/jcp.0000000000002132,Efficacy of Low-Dose Adjunctive Methylphenidate Extended-Release on Cognition and Functioning in Individuals With Schizophrenia: A Randomized Open-Label Trial.,Zhand Naista; Joober Ridha; Labelle Alain; Attwood David; Al Quraish Fatima; Iftikhar Fatima; Robertson Carrie; Kozyra Elizabeth; Carefoot Esther; Harvey Philip D,Journal of clinical psychopharmacology,2026,"Purpose/Background: – Cognitive impairment severely disrupts functioning and recovery in schizophrenia. Methylphenidate extended-release (ER) shows promise for cognition in attention-deficit/hyperactivity disorder but has limited, inconsistent evidence in schizophrenia. This study investigates low-dose methylphenidate ER’s effects on cognitive and functional outcomes in schizophrenia, addressing a critical therapeutic gap. Methods/Procedures: – In an 8-week, open-label, randomized crossover tria",MAP,include; Canadian PI (Zhand Ottawa); open-label randomized crossover RCT; methylphenidate ER for cognitive impairment in schizophrenia; pharma for MH; diagnosed schizophrenia,OUT_OF_SCOPE,non_canadian; No Canadian site or PI identified,INCLUDE,Resolved,QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: Open-label randomized crossover RCT methylphenidate ER for cognition in schizophrenia; Canadian (Zhand/Joober Ottawa); QA confirmed MAP; primary results 2026
73,34971723,10.1016/j.pnpbp.2021.110507,Electrophysiological correlates and predictors of the antidepressant response to repeated ketamine infusions in treatment-resistant depression.,de la Salle S.; Phillips J.L.; Blier P.; Knott V.,Progress in Neuro Psychopharmacology and Biological Psychiatry,2022,"Background: Sub-anesthetic ketamine doses rapidly reduce depressive symptoms, although additional investigations of the underlying neural mechanisms and the prediction of response outcomes are needed. Electroencephalographic (EEG)-derived measures have shown promise in predicting antidepressant response to a variety of treatments, and are sensitive to ketamine administration. This study examined their utility in characterizing changes in depressive symptoms following single and repeated ketamine",OUT_OF_SCOPE,Secondary electrophysiology/predictor analysis from parent ketamine trial,MAP,depression; Canadian RCT of ketamine for TRD (Phillips and Blier Ottawa); EEG analysis but from the primary clinical trial; pharma for MH; results 2022,EXCLUDE,Resolved,"Full-text screening: Secondary EEG predictor analysis from parent ketamine trial (Record #31, PMID 30922101)"
74,33026311,10.1503/jpn.190164,Emotional and interpersonal mechanisms in community SSRI treatment of social anxiety disorder.,Rappaport L.M.; Hunter M.D.; Russell J.J.; Pinard G.; Bleau P.; Moskowitz D.S.,Journal of Psychiatry and Neuroscience,2021,"Background: Affective and interpersonal behavioural patterns characteristic of social anxiety disorder show improvement during treatment with serotonin agonists (e.g., selective serotonin reuptake inhibitors), commonly used in the treatment of social anxiety disorder. The present study sought to establish whether, during community psychopharmacological treatment of social anxiety disorder, changes in positive or negative affect and agreeable or quarrelsome behaviour mediate improvement in social",UNCERTAIN,unclear_design; Community SSRI (paroxetine) treatment study for SAD; Canadian (Montreal); pharma for MH; but no placebo control described and unclear if RCT design,UNCERTAIN,potential_map; Observational community study of paroxetine (SSRI) treatment in social anxiety disorder; Canadian authors (Moskowitz - McGill; Bleau/Pinard - Montreal); pharmacological; diagnosed MH disorder (SAD); but not randomized - open-label community treatment without placebo control; not an RCT,EXCLUDE,Resolved,Full-text screening: Not an RCT; observational/naturalistic community SSRI study without randomization or control
75,40133524,10.1038/s41591-025-03569-y,Escitalopram for agitation in Alzheimer's dementia: a randomized controlled phase 3 trial.,Rajji Tarek K; Baksh Sheriza N; Shade David M; Ismail Zahinoor; Burhan Amer M; Okhravi Hamid R; Padala Prasad R; Rosenberg Paul B; Schneider Lon S; Porsteinsson Anton P; Lyketsos Constantine G,Nature medicine,2025,"Citalopram is effective in treating agitation in Alzheimer's dementia (AD), but it is associated with cognitive and cardiac risks, likely due to its R-enantiomer. Escitalopram, the S-enantiomer, may be an alternative. In this double-masked randomized (1:1) placebo-controlled trial, we assessed the efficacy and safety of escitalopram in treating agitation in AD after failure of a psychosocial intervention (PSI). Assessments occurred at enrollment, post-PSI (baseline) and at 3, 6, 9 and 12 weeks p",UNCERTAIN,dementia; multi-site US/Canadian trial; escitalopram for agitation in AD; Ismail (Calgary) is co-author; need full text to confirm Canadian recruitment site,UNCERTAIN,"dementia_behavioral; Canadian PI (Rajji - CAMH); escitalopram for agitation in Alzheimer dementia; agitation is NPI symptom, not standalone DSM-5 MH dx",INCLUDE,Resolved,"QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: Phase 3 RCT escitalopram for agitation in AD; Canadian PIs Rajji (CAMH), Ismail (Calgary); QA confirmed MAP; primary results 2025"
76,37902726,10.1001/jamaneurol.2023.3861,Exploratory Tau Biomarker Results From a Multiple Ascending-Dose Study of BIIB080 in Alzheimer Disease: A Randomized Clinical Trial.,Edwards Amanda L; Collins Jessica A; Junge Candice; Kordasiewicz Holly; Mignon Laurence; Wu Shuang; Li Yumeng; Lin Lin; DuBois Jonathan; Hutchison R Matthew; Ziogas Nick; Shulman Melanie; Martarello Laurent; Graham Danielle; Lane Roger; Budd Haeberlein Samantha; Beaver John,JAMA neurology,2023,"IMPORTANCE: Accumulation of hyperphosphorylated, tangled microtubule-associated protein tau (MAPT) is a pathological hallmark of Alzheimer disease (AD) associated with disease progression and cognitive decline. OBJECTIVE: To evaluate the effect of tau synthesis reduction on tau biomarkers in patients with mild AD. DESIGN, SETTING, AND PARTICIPANTS: This randomized clinical trial was a double-blind, placebo-controlled 36-week multiple-ascending dose (MAD) phase 1b trial (October 2017 to September",OUT_OF_SCOPE,dementia; Phase 1b dose-finding study with biomarker endpoints (CSF tau and tau PET); not a main efficacy trial for clinical outcomes; 12 sites in Canada and Europe; phase 1b exploratory biomarker study is not main trial results per criterion 5,MAP,dementia; Phase 1b RCT of BIIB080 (tau-targeting ASO) in mild AD. 12 sites in Canada and Europe. Published 2023. Primary trial results (biomarker endpoints). Meets all criteria.,INCLUDE,Resolved,Full-text screening: Phase 1b RCT BIIB080 (tau-targeting ASO) for AD; randomized placebo-controlled; Canadian investigators; primary results 2023. Borderline: biomarker endpoints.
77,31110776,10.1186/s40814-019-0444-3,Feasibility of a tapering opioids prescription program for trauma patients at high risk of chronic consumption (TOPP-trauma): protocol for a pilot randomized controlled trial.,"Bérubé M, Deslauriers V, Leduc S, Turcotte V, Dupuis S, Roy I, Clairoux S, Panic S, Nolet M.",,2019,"BackgroundOpioid use disorder (OUD) and deaths related to the chronic use of opioids have increased significantly over the last two decades. Chronic consumption of opioids has been documented in many patients with traumatic injuries. Preliminary research findings have shown that interventions using cognitive-behavioral strategies were a promising adjunct in decreasing the burden associated with opioid consumption. Accordingly, the Tapering Opioids Prescription Program in Trauma (TOPP-Trauma) was",UNCERTAIN,"possible_Canadian; Protocol for pilot RCT of opioid tapering program for trauma patients; Canadian (Quebec); but protocol only, no results reported; and primary outcome is opioid consumption not MH",UNCERTAIN,Canadian-check; Canadian (Quebec-based); protocol for pilot RCT; opioid tapering with CBT strategies; trauma patients not diagnosed MH per DSM-5,EXCLUDE,Resolved,Full-text screening: Protocol only; no results published
78,6643,,Five-factor personality and antidepressant response to iTBS for MDD,,,,"Background: Five-factor personality has been examined in relation to the natural history of depression and its response to treatment. With respect to rTMS, several five-factor personality dimensions have been associated with treatment outcomes, and open-label data suggests that neuroticism decreases with high-frequency stimulation to the left dorsolateral prefrontal cortex (DLPFC). Here, we examine the relationship between five-factor personality dimensions and antidepressant response leveraging",MAP,pharma_rct_canadian; RCT of iTBS + D-Cycloserine (pharmacological agent) for MDD; Canadian PI (McGirr - Calgary); D-Cycloserine is pharmacological augmentation; MDD diagnosed; NCT03937596; secondary analysis examining personality predictors,MAP,pharma_rct_canadian; RCT of iTBS + D-Cycloserine (pharmacological agent) for MDD; Canadian PI (McGirr - Calgary); D-Cycloserine is pharmacological augmentation; MDD diagnosed; NCT03937596; secondary analysis examining personality predictors,EXCLUDE,Resolved,QA-audited: downgraded from MAP to UNCERTAIN - secondary analysis of neurostimulation trial; Full-text screening: D-cycloserine adjunct to neurostimulation (iTBS); also secondary analysis; QA downgraded from MAP
79,35702828,10.1176/appi.ajp.21090964,"Flexible Buprenorphine/Naloxone Model of Care for Reducing Opioid Use in Individuals With Prescription-Type Opioid Use Disorder: An Open-Label, Pragmatic, Noninferiority Randomized Controlled Trial.","Jutras-Aswad D, Le Foll B, Ahamad K, Lim R, Bruneau J, Fischer B, Rehm J, Wild TC, Wood E, Brissette S, Gagnon L, Fikowski J, Ledjiar O, Masse B, Socias ME, OPTIMA Research Group within the Canadian Research Initiative in Substance Misuse.",,2022,"ObjectiveExtensive exposure to prescription-type opioids has resulted in major harm worldwide, calling for better-adapted approaches to opioid agonist therapy. The authors aimed to determine whether flexible take-home buprenorphine/naloxone is as effective as supervised methadone in reducing opioid use in prescription-type opioid consumers with opioid use disorder.MethodsThis seven-site, pan-Canadian, 24-week, pragmatic, open-label, noninferiority, two-arm parallel randomized controlled trial in",UNCERTAIN,substance-use-pharma; OPTIMA trial: BUP/NX vs methadone RCT for prescription opioid use disorder; 7-site pan-Canadian; pharma for SUD; Canadian PI and sites,MAP,MAP; Pan-Canadian 7-site RCT (OPTIMA); OUD (DSM-5) treated with BUP/NX vs methadone; 2022,INCLUDE,Resolved,QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: OPTIMA primary RCT results: BUP/NX vs methadone for POUD; pan-Canadian 7-site; QA confirmed MAP; 2022
80,27233840,10.1186/s12916-016-0626-2,"Flexible, dual-form nicotine replacement therapy or varenicline in comparison with nicotine patch for smoking cessation: a randomized controlled trial.",Tulloch H.E.; Pipe A.L.; Els C.; Clyde M.J.; Reid R.D.,BMC Medicine,2016,"Background: Extended use of combined pharmacotherapies to treat tobacco dependence may increase smoking abstinence; few studies have examined their effectiveness. The objective of this study was to evaluate smoking abstinence with standard nicotine patch (NRT), extended use of combined formulations of nicotine replacement therapy (NRT+), or varenicline (VR). Methods: A total of 737 smokers, including those with medical and psychiatric comorbidities, were randomly assigned to one of the above thr",MAP,substance_use; RCT; tobacco use disorder (DSM-5); NRT/varenicline pharma; Canadian (Ottawa); main results 2016,OUT_OF_SCOPE,substance_use; Smoking cessation in general smokers - tobacco use disorder is not a DSM-5 diagnosed mental health condition targeted here; NRT/varenicline targets nicotine dependence not a primary MH disorder,INCLUDE,Resolved,Full-text screening: RCT NRT/varenicline for smoking cessation; tobacco use disorder is DSM-5; Canadian (Ottawa); primary results 2016
81,32979939,10.1016/s2352-4642(20)30243-1,"High-dose and low-dose varenicline for smoking cessation in adolescents: a randomised, placebo-controlled trial",Gray K.M.; Rubinstein M.L.; Prochaska J.J.; DuBrava S.J.; Holstein A.R.; Samuels L.; McRae T.D.,Lancet Child and Adolescent Health,2020,"Background: Although cigarette smoking typically begins in adolescence, evidence for successful pharmacological smoking cessation interventions for this population is scarce. In adult smokers, varenicline is the most effective single pharmacotherapy. The aim of this study was to assess the efficacy and tolerability of varenicline for smoking cessation in adolescents. Methods: We did a randomised, placebo-controlled trial with adolescent smokers aged 12–19 years who were seeking treatment to quit",UNCERTAIN,possible_MAP; Majority UNCERTAIN; ext2 voted MAP,UNCERTAIN,varenicline for smoking cessation in adolescents; Canadian; Canadian pharma RCT but smoking cessation may not qualify as diagnosed MH,INCLUDE,Resolved,Full-text screening: RCT varenicline for adolescent smoking cessation; Canadian sites confirmed; tobacco use disorder DSM-5; primary results 2020
82,31376790,10.1016/j.psychres.2019.112493,History of parenting instability and lifetime suicidal behavior in people who inject drugs.,Tabi K.; Choi F.; Mithani Z.; Nikoo M.; Jang K.; Krausz M.,Psychiatry Research,2019,"Despite high rates of suicide in people who inject drugs, little is known about the risk factors for suicide related to childhood and family history in this population. We aimed to explore the relationship between the history of out-of-home care (OHC) and lifetime suicide attempts among people who inject opioids. Participants (N = 202) were current injection opioid users with at least one previous episode of opioid maintenance treatment. They were recruited into a double-blind randomized control",UNCERTAIN,"possible_Canadian; Secondary analysis of baseline data from SALOME trial (opioid substitution); SALOME was conducted in Vancouver, Canada; but this is secondary analysis of baseline data not primary RCT results",UNCERTAIN,Canadian-check; Krausz M is Vancouver-based PI; participants are injection opioid users in RCT; but this is secondary analysis examining suicidal behavior; OUD population,EXCLUDE,Resolved,Full-text screening: Secondary analysis of baseline data from SALOME trial
83,38453677,10.1017/s1092852924000099,Impact of Baseline Anxiety on Well-being in People with Post-COVID-19 Condition: A Secondary Analysis.,Kleine Nicholas; Kwan Angela T H; Le Gia Han; Guo Ziji; Phan Lee; Subramaniapillai Mehala; McIntyre Roger S,CNS spectrums,2024,"BACKGROUND: Post-COVID-19 condition (PCC) is associated with a host of psychopathological conditions including prominent anxiety symptoms. However, it is not known what effect anxious symptoms have on measures of well-being in individuals living with PCC. This study aims to evaluate anxiety's association with measures of well-being in people with PCC. METHODS: This is a post hoc analysis utilizing data from a placebo-controlled, randomized, double-blind clinical trial assessing the effect of vor",UNCERTAIN,secondary analysis; Secondary analysis of vortioxetine RCT for PCC; McIntyre group (Canadian PI); examines baseline anxiety on well-being. Secondary analysis of parent trial (NCT05047952).,UNCERTAIN,possible_map; Secondary analysis of Canadian vortioxetine RCT (McIntyre); PCC not diagnosed MH disorder per se; pharma trial but anxiety/well-being is secondary analysis,EXCLUDE,Resolved,Full-text screening: Secondary analysis of vortioxetine RCT
84,40334114,10.1080/00952990.2025.2494112,Impact of alternative income assistance disbursement on substance use disorder treatment adherence among people who use drugs.,Klaire Sukhpreet; Choi JinCheol; Laing Allison; Richardson Lindsey,The American journal of drug and alcohol abuse,2025,"Background: The synchronized disbursement of income assistance payments is associated with increased drug-related harms and substance use disorder (SUD) treatment interruptions. Desynchronizing and splitting these payments can mitigate escalations in drug use, suggesting that downstream effects on SUD treatment may be impacted as well. Objectives: To understand the effect of desynchronizing and splitting income assistance payments on treatment patterns, including adherence to medications for opi",UNCERTAIN,potential_match; TASA study in Vancouver Canada; RCT of income assistance disbursement; participants have SUD (DSM MH disorder); but intervention is payment schedule change not pharmacotherapy; pharma (MOUD) adherence is measured as outcome,UNCERTAIN,"possible_MAP; Canadian RCT (TASA study, Vancouver); SUD treatment adherence; randomized income disbursement schedules; BUT intervention is income assistance disbursement schedule (not pharma); MOUD adherence measured as outcome but not the intervention",EXCLUDE,Resolved,Full-text screening: Non-pharmacological intervention (income assistance disbursement schedule)
85,38877969,10.1111/ajad.13619,Impact of baseline methamphetamine/amphetamine use on discontinuation of methadone and buprenorphine/naloxone among people with prescription-type opioid use disorder in Canada.,Langlois Jenna; Fairbairn Nadia; Jutras-Aswad Didier; Le Foll Bernard; Lim Ron; Socías M Eugenia,The American journal on addictions,2024,"BACKGROUND AND OBJECTIVES: Although concurrent stimulant use is common among people with opioid use disorder (OUD), there is little evidence on its impacts on opioid agonist therapy (OAT) outcomes. This study sought to determine the impact of baseline methamphetamine/amphetamine use on discontinuation of OAT among individuals with prescription-type OUD (POUD) initiating methadone or buprenorphine/naloxone as part of a pragmatic randomized trial in Canada. METHODS: Secondary analysis of a pan-Can",UNCERTAIN,secondary analysis; Secondary analysis of pan-Canadian pragmatic RCT (methadone vs buprenorphine/naloxone for POUD); impact of methamphetamine use on OAT discontinuation; Canadian; pharma for OUD. Secondary analysis.,UNCERTAIN,possible_map; Secondary analysis of pan-Canadian pragmatic RCT (OPTIMA); OUD (DSM-5); methadone vs buprenorphine/naloxone (pharma); Canadian sites; but secondary analysis not primary RCT,EXCLUDE,Resolved,Full-text screening: Secondary analysis of OPTIMA trial
86,35220140,10.1016/j.sleep.2022.01.024,Impact of lemborexant treatment on insomnia severity: analyses from a 12-month study of adults with insomnia disorder.,Roth T.; Rosenberg R.; Morin C.M.; Yardley J.; Pinner K.; Perdomo C.; Atkins N.; Pappadopulos E.; Malhotra M.; Moline M.,Sleep Medicine,2022,"Objective/background: Evaluate changes in insomnia severity in subjects with moderate to severe insomnia (Insomnia Severity Index [ISI] score ≥15) treated for 12 months nightly with lemborexant. Patients/methods: This phase 3 randomized study comprised two 6-month treatment periods. In Period 1, 949 subjects were randomized to placebo, lemborexant 5 mg (LEM5) or 10 mg (LEM10). In Period 2, placebo subjects were rerandomized to LEM5 or LEM10; subjects initially randomized to lemborexant continued",UNCERTAIN,uncertain Canadian involvement and insomnia DSM-5 status; Unanimous agreement,UNCERTAIN,"possible_canadian_site; Lemborexant 12-month Phase 3 for insomnia disorder; Morin CM (Laval, Canada) co-author; intl multi-site; needs Canadian enrollment verification",EXCLUDE,Resolved,Full-text screening: Morin CM is co-author not PI; Eisai-sponsored multinational Phase 3; no Canadian site PI confirmed
87,38954891,10.1016/j.psychres.2024.116068,Impact of vortioxetine on depressive symptoms moderated by symptoms of anxiety in persons with post-COVID-19 condition: A secondary analysis.,Le Gia Han; Kwan Angela T H; Guo Ziji; Teopiz Kayla M; Wong Sabrina; Meshkat Shakila; d'Andrea Giacomo; Ho Roger; Rhee Taeho Greg; Cao Bing; Badulescu Sebastian; Phan Lee; Rosenblat Joshua D; Mansur Rodrigo B; Subramaniapillai Mehala; McIntyre Roger S,Psychiatry research,2024,"OBJECTIVE: Recovery from a COVID-19 infection can lead to post-COVID-19 condition (PCC), which causes a multitude of debilitating symptoms that negatively affect an individual's health-related quality of life, including depressive and anxiety symptoms. We aim to examine the mediatory effects of anxiety on depressive symptoms in persons with PCC receiving vortioxetine. METHODS: We performed a post-hoc analysis of a randomized, double-blinded, placebo-controlled clinical trial investigating vortio",UNCERTAIN,secondary analysis; Secondary analysis of vortioxetine RCT for post-COVID-19 cognitive dysfunction; McIntyre group (Toronto/Canadian PI); pharma (vortioxetine) for depressive symptoms. Secondary analysis of parent trial.,UNCERTAIN,possible_map; Secondary analysis of vortioxetine RCT for PCC cognitive function; Canadian PI (McIntyre); pharma (vortioxetine); but primary indication is cognitive in PCC not diagnosed MH disorder per se. Depressive symptoms measured but PCC is primary condition.,EXCLUDE,Resolved,Full-text screening: Secondary analysis of vortioxetine trial
88,32536434,10.1016/j.jamda.2020.04.009,"Individualized Medication Management in Ontario Long-Term Care Clinical Impact on Management of Depression, Pain, and Dementia.","Dorfman R, London Z, Metias M, Kabakchiev B, Mukerjee G, Moser A.",,2020,"ObjectivesAssess the potential benefits of identifying drug-gene interactions in nursing home (NH) residents on multiple medications. Reduce the use of high-risk medications for residents with reduced drug metabolism.DesignOpen-label, nonrandomized, mixed methods study.SettingFour NHs in Ontario.MeasurementsPotential drug therapy problems (DTPs) for study cohort were identified during a medication review by a pharmacist using pharmacogenetic (PGx) clinical decision support to identify medication",UNCERTAIN,"possible_Canadian; Open-label non-randomized study of PGx-guided medication management in Ontario LTC homes; Canadian; but non-randomized and open-label, not a standard RCT; pharmacogenomic optimization",UNCERTAIN,Canadian-check; Ontario-based; pharmacogenomic medication management in LTC; open-label non-randomized; touches depression management but non-randomized design,EXCLUDE,Resolved,Full-text screening: Not an RCT; open-label non-randomized study
89,33970657,10.1037/cou0000554,Insight as a mechanism of change in dynamic therapy for major depressive disorder.,"Jennissen S, Connolly Gibbons MB, Crits-Christoph P, Schauenburg H, Dinger U.",,2021,"This study aimed to investigate change in insight into maladaptive interpersonal patterns over the course of psychotherapy, as well as the specificity of insight as a change mechanism in dynamic treatments. A total of 100 patients received up to 16 sessions of either cognitive or dynamic therapy for major depressive disorder in a randomized clinical trial. Assessments of insight (Insight into Conflictual Relationship Patterns scale) and depression severity (Hamilton Depression Inventory) took pl",OUT_OF_SCOPE,non-Canadian; non-pharma; Insight in dynamic therapy for MDD; US site; psychotherapy mechanism,MAP,include_candidate; RCT of dynamic vs cognitive therapy for MDD; 100 patients; need to verify if Canadian PI/site. Authors include Crits-Christoph (US) but listed as in_sample=True in dataset,EXCLUDE,Resolved,"QA-audited: downgraded from MAP to UNCERTAIN - non-pharmacological (psychotherapy RCT, not pharma); Full-text screening: Non-pharmacological (psychotherapy RCT); also non-Canadian; QA downgraded from MAP"
90,29700801,10.1007/s12630-018-1088-0,Ketamine-based anesthesia improves electroconvulsive therapy outcomes: a randomized-controlled study.,Gamble J.J.; Bi H.; Bowen R.; Weisgerber G.; Sanjanwala R.; Prasad R.; Balbuena L.,Canadian Journal of Anesthesia,2018,Background: Major depressive disorder (MDD) is a common and debilitating condition that can be challenging to treat. Electroconvulsive therapy (ECT) is currently the therapeutic gold standard for treatment-resistant MDD. We tested our hypothesis that ketamine-based anesthesia for ECT results in superior improvement in treatment-resistant MDD outcomes compared with propofol-based anesthesia. Methods: Patients with treatment-resistant MDD were enrolled in a randomized clinical trial with assignmen,OUT_OF_SCOPE,"Pharma intervention (ketamine) used as anesthetic for ECT, not targeting the mental disorder directly; adjunct anesthesia study",MAP,depression; RCT of ketamine vs propofol anesthesia for ECT in treatment-resistant MDD; Canadian site (Saskatchewan); pharma targeting MH; results 2018,EXCLUDE,Resolved,"Full-text screening: Ketamine used as anesthetic for ECT (neurostimulation), not targeting MH directly; primary intervention is ECT"
